Title,Link,Date,Content
因为相信ChatGPT，纽约律师在法庭上引用了不存在的案例,http://jandan.net/p/113175,人工智能/bali/ 05.29,5因为相信ChatGPT，纽约律师在法庭上引用了不存在的案例人工智能/bali/ 05.29他因此面临法官的责难。
薄荷脑的气味竟然可以阻止阿茨海默病的恶化,http://jandan.net/p/113023,医学/majer/ 05.29,7薄荷脑的气味竟然可以阻止阿茨海默病的恶化医学/majer/ 05.29至少动物实验显示如此
在不破坏蛋壳的情况下，确认受精鸡蛋的性别,http://jandan.net/p/113112,致富信息/majer/ 05.29,11在不破坏蛋壳的情况下，确认受精鸡蛋的性别致富信息/majer/ 05.29对蛋鸡来说，公雏鸡没有价值，等孵化出来再处理掉等于浪费了一个鸡蛋
今日好价 0529,http://jandan.net/p/113167,带货/sein/ 05.29,1今日好价 0529带货/sein/ 05.29今日带货商品数量：20
what if：彗星冰块,http://jandan.net/p/113164,whatif/bali/ 05.29,4what if：彗星冰块whatif/bali/ 05.29巨型彗星起重机就是解决方案
通过改变社交媒体使用方式让青少年获得更好的睡眠,http://jandan.net/p/113161,健康/bali/ 05.29,0通过改变社交媒体使用方式让青少年获得更好的睡眠健康/bali/ 05.29屏幕使用似乎与青少年较差的睡眠质量有关
早期宇宙对称性破缺或解释为何物质超过反物质,http://jandan.net/p/113160,天文/bali/ 05.28,11早期宇宙对称性破缺或解释为何物质超过反物质天文/bali/ 05.28解释了为什么物质比反物质多。
量子纠缠：在30米的距离上检验贝尔不等式,http://jandan.net/p/113040,高科技/majer/ 05.28,8量子纠缠：在30米的距离上检验贝尔不等式高科技/majer/ 05.28而且还使用了超导电路
宇宙中最重的元素是什么,http://jandan.net/p/113159,走进科学/bali/ 05.28,15宇宙中最重的元素是什么走进科学/bali/ 05.28自然界中最重的元素是铀
我们为什么做好事？心理学家探索道德行为的动机,http://jandan.net/p/113007,心理学/majer/ 05.28,4我们为什么做好事？心理学家探索道德行为的动机心理学/majer/ 05.28是什么驱使一些人走上道德的高地
今日好价 0528,http://jandan.net/p/113156,带货/sein/ 05.28,0今日好价 0528带货/sein/ 05.28今日带货商品数量：8
全球第二例天生免疫(遗传性)阿兹海默病的患者,http://jandan.net/p/113052,医学/majer/ 05.27,2全球第二例天生免疫(遗传性)阿兹海默病的患者医学/majer/ 05.27发病年龄后可保持认知无障碍近 30 年
腾讯和浙大的工程师，发明了一种低成本破解智能手机指纹系统的方式,http://jandan.net/p/113117,Tech/majer/ 05.27,5腾讯和浙大的工程师，发明了一种低成本破解智能手机指纹系统的方式Tech/majer/ 05.27主要是为了揭示现有系统的脆弱性
这就是AI认为的“完美”男女形象,http://jandan.net/p/113149,人工智能/bali/ 05.27,17这就是AI认为的“完美”男女形象人工智能/bali/ 05.27AI对人类的期望不切实际。
两只猴子治愈HIV同族病毒SIV,http://jandan.net/p/113148,医学/bali/ 05.27,1两只猴子治愈HIV同族病毒SIV医学/bali/ 05.27有五名人类通过同样的方法治愈了HIV
今日好价 0527,http://jandan.net/p/113144,带货/sein/ 05.27,2今日好价 0527带货/sein/ 05.27今日带货商品数量：8
延迟射精的潜在原因和症状,http://jandan.net/p/113146,医学/bali/ 05.27,12延迟射精的潜在原因和症状医学/bali/ 05.27也称为射精障碍
调控信号蛋白以减缓肌肉萎缩症的进展,http://jandan.net/p/113145,医学/bali/ 05.27,0调控信号蛋白以减缓肌肉萎缩症的进展医学/bali/ 05.27目前DMD的标准治疗方法副作用严重
发霉啦：今天，我打电话跟公司请假,http://jandan.net/p/113142,发霉啦/Diehard/ 05.26,10发霉啦：今天，我打电话跟公司请假发霉啦/Diehard/ 05.26深夜更新
首位因上传游戏视频而被逮捕的日本人,http://jandan.net/p/113103,"游戏,版权/majer/ 05.26","6首位因上传游戏视频而被逮捕的日本人游戏,版权/majer/ 05.26《命运石之门：比翼双飞的恋人》的发行商认为，这种视觉小说类游戏，看游戏视频几乎等于亲自玩游戏"
脑植入物使瘫痪患者站立和行走,http://jandan.net/p/113129,医学/majer/ 05.26,4脑植入物使瘫痪患者站立和行走医学/majer/ 05.26植入物充当神经链接，恢复脑中的通信
ChatGPT是一次黑天鹅事件,http://jandan.net/p/113139,人工智能/bali/ 05.26,11ChatGPT是一次黑天鹅事件人工智能/bali/ 05.26人们意识到AI正在逐步取代人类的工作
一种能真实将人物插入图片的模型,http://jandan.net/p/113137,人工智能/bali/ 05.26,1一种能真实将人物插入图片的模型人工智能/bali/ 05.26该模型能够将人物真实地插入各种场景中
干细胞研究或许可以让血液在身体的其他部位中生成,http://jandan.net/p/113138,医学/bali/ 05.26,2干细胞研究或许可以让血液在身体的其他部位中生成医学/bali/ 05.26看起来非常类似于人类的骨髓
